"Name","RA","DEC"
"SN2008D","09:09:30.625,09:09:30.65","+33:08:20.16,+33:08:20.3,+33:08:20.29"
"Gaia16aka","14:48:08.20,14:48:08.25,14:48:08.16","+37:13:58.70,+37:13:58.7,+37:13:58.8"
"Gaia17bxh","04:55:53.25,04:55:53.249,04:55:53.256","+46:24:03.31,+46:24:03.32,+46:24:03.24"
"SN2007S","10:00:31.26,10:00:31.2,10:00:31.20","+04:24:26.2,+04:24:25.272,+04:24:26.28,+04:24:26.21"
"SN2007C","13:08:49.30,13:08:49.32","-06:47:01.0,-06:47:01.00,-06:47:00.3"
"AT2017kad","14:00:18.16,14:00:18.160,14:00:18.24","+05:59:46.00,+05:59:46.14"
"SN2004dt","02:02:12.342,02:02:12.768,02:02:12.77","-00:06:02.10,-00:05:51.36,-00:05:51.50,-00:05:51.5"
"iPTF13dge","05:03:35.08,05:03:35.10","+01:34:17.4,+01:34:17.6,+01:34:17.2"
"SN2007uy","09:09:35.40,09:09:35.28,09:09:35.35","+33:07:09.9,+33:07:09.2,+33:07:08.90"
"SN1937C","13:05:53.2,13:05:52.4,13:05:53.20","+37:36:07,+37:37:08.0,+37:36:07.0"
"SN2006aj","03:21:39.670,03:21:39.71,03:21:31.2","+16:52:02.27,+16:52:02.6,+16:52:02.60,+16:54:36"
"SN2009N","12:31:09.46,12:31:09.47","-08:02:56.3,-08:02:56.29"
